province	cnt
广东省	415553
河北省	404999
江苏省	273612
浙江省	227362
四川省	127886
山东省	126244
上海市	122523
福建省	119147
河南省	80835
安徽省	80637
湖北省	77455
湖南省	76121
北京市	75042
江西省	51772
重庆市	48093
陕西省	45559
辽宁省	41242
山西省	35098
天津市	30880
广西壮族自治区	29513
云南省	28451
贵州省	27055
内蒙古自治区	25651
新疆维吾尔自治区	20114
吉林省	18867
甘肃省	18113
黑龙江省	16540
海南省	14547
宁夏回族自治区	9509
青海省	5917
西藏自治区	2989
石家庄市	19
香港特别行政区	16
澳门特别行政区	12
河北	4
