grp	bucket	cnt
AI	10-15K	138
AI	15-25K	217
AI	25-50K	169
AI	3-6K	63
AI	50K+	25
AI	6-10K	89
AI	<3K	14
AI	NULL	2
ALL	10-15K	11055
ALL	15-25K	6503
ALL	25-50K	1641
ALL	3-6K	47652
ALL	50K+	247
ALL	6-10K	27292
ALL	<3K	6285
ALL	NULL	92
