city	cnt
深圳市	94305
广州市	80912
东莞市	43758
佛山市	32459
珠海市	21309
惠州市	20222
中山市	19695
江门市	14332
汕头市	11227
肇庆市	10456
湛江市	10246
清远市	9303
阳江市	7393
茂名市	6922
韶关市	5811
河源市	5560
潮州市	5244
揭阳市	4945
梅州市	4607
汕尾市	4130
云浮市	2664
NULL	51
香港特别行政区	2
