education	cnt
BENKE	4633
BOSHI	41
BUXIAN	6910
CHUZHONGJIYIXIA	354
DAZHUAN	5441
GAOZHI	3
GAOZHONG	976
SHUOSHI	306
ZHONGZHUAN/ZHONGJI	1341
