name	cnt
室内设计	239
主播	180
平面设计	168
普工/操作工	162
新媒体运营	146
汽车维修	145
带货主播	145
汽车销售	127
视频剪辑	124
国内电商运营	123
配送员	123
机修工	118
配/理/拣/发货	116
医药代表	111
项目经理/主管	111
